        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
         276      84.436       0.889       1.006      -7.026       0.000       6.920       0.000       0.594      -0.117
         277      83.514       0.885       0.999      -6.883       0.000       6.731       0.000       0.585      -0.115
         279      82.571       0.880       0.993      -6.741       0.000       6.545       0.000       0.576      -0.112
         280      81.607       0.876       0.986      -6.601       0.000       6.361       0.000       0.567      -0.110
         282      80.624       0.873       0.980      -6.463       0.000       6.181       0.000       0.557      -0.108
         283      79.621       0.869       0.975      -6.327       0.000       6.005       0.000       0.547      -0.105
         285      78.599       0.866       0.970      -6.194       0.000       5.832       0.000       0.537      -0.103
         286      77.559       0.863       0.965      -6.064       0.000       5.663       0.000       0.526      -0.101
         288      76.502       0.861       0.960      -5.937       0.000       5.497       0.000       0.515      -0.099
         289      75.428       0.859       0.956      -5.813       0.000       5.335       0.000       0.504      -0.097
         290      74.339       0.857       0.951      -5.693       0.000       5.177       0.000       0.492      -0.095
         292      73.233       0.855       0.948      -5.575       0.000       5.023       0.000       0.480      -0.093
         293      72.113       0.853       0.944      -5.460       0.000       4.872       0.000       0.468      -0.091
         295      70.979       0.852       0.941      -5.349       0.000       4.724       0.000       0.456      -0.089
         296      69.832       0.851       0.938      -5.240       0.000       4.580       0.000       0.444      -0.087
         298      68.673       0.850       0.936      -5.135       0.000       4.438       0.000       0.431      -0.086
         299      67.501       0.850       0.933      -5.032       0.000       4.300       0.000       0.419      -0.084
         300      66.319       0.849       0.931      -4.931       0.000       4.165       0.000       0.406      -0.082
         302      65.126       0.849       0.930      -4.834       0.000       4.032       0.000       0.393      -0.081
         303      63.923       0.849       0.928      -4.738       0.000       3.901       0.000       0.380      -0.079
         305      62.712       0.849       0.927      -4.645       0.000       3.773       0.000       0.367      -0.077
         306      61.493       0.850       0.926      -4.554       0.000       3.647       0.000       0.354      -0.076
         308      60.266       0.851       0.925      -4.465       0.000       3.523       0.000       0.341      -0.074
         309      59.033       0.852       0.925      -4.377       0.000       3.400       0.000       0.328      -0.073
         311      57.795       0.853       0.924      -4.292       0.000       3.279       0.000       0.315      -0.072
         312      56.551       0.854       0.924      -4.207       0.000       3.159       0.000       0.302      -0.070
         313      55.303       0.856       0.925      -4.124       0.000       3.040       0.000       0.288      -0.069
         315      54.052       0.858       0.925      -4.043       0.000       2.922       0.000       0.275      -0.067
         316      52.799       0.860       0.926      -3.962       0.000       2.805       0.000       0.262      -0.066
         318      51.543       0.862       0.927      -3.882       0.000       2.688       0.000       0.249      -0.065
         319      50.287       0.865       0.928      -3.803       0.000       2.571       0.000       0.236      -0.063
